건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
2001,아파트,44655,2,974080.061,1954494.216
2001,아파트,44705,2,974122.0406,1954464.397
2001,아파트,44706,2,974125.5395,1954409.266
2001,아파트,44688,2,974396.1065,1954428.531
2001,아파트,44690,2,974345.3491,1954440.429
2001,아파트,44698,2,974181.6668,1954455.52
2001,아파트,44667,2,974376.6692,1954361.258
2001,아파트,44689,2,974302.8927,1954417.287
2001,아파트,44699,2,974276.2007,1954448.696
2001,아파트,44700,2,974227.9717,1954448.858
2001,아파트,44670,2,974262.4606,1954389.452
2001,아파트,44674,2,974332.0094,1954374.782
2001,아파트,44675,2,974414.0703,1954392.776
2001,아파트,50976,2,974530.6629,1954407.666
2001,아파트,44484,2,974460.0857,1954205.607
2001,아파트,44483,2,974510.9323,1954201.031
2001,아파트,44498,2,974530.9635,1954253.902
2001,아파트,47180,2,974600.1565,1953802.381
2001,아파트,47174,2,974639.9753,1953766.204
2001,아파트,47175,2,974574.9243,1953753.952
2001,아파트,47171,2,974596.1007,1953716.561
2001,아파트,47184,2,974580.4897,1953779.12
2001,아파트,47167,2,974519.9611,1953866.822
2001,아파트,47160,2,974490.7428,1953775.915
2001,아파트,47166,2,974508.7434,1953821.372
2001,아파트,47155,2,974516.05,1953776.997
2001,아파트,47159,2,974481.4606,1953794.005
2001,아파트,47163,2,974495.4764,1953856.83
2001,아파트,47147,2,974518.7219,1953669.944
2001,아파트,47144,2,974576.9263,1953607.626
2001,아파트,47146,2,974563.022,1953694.126
2001,아파트,47140,2,974447.6298,1953740.989
2001,아파트,44708,2,974636.7517,1953922.731
2001,아파트,44707,2,974649.2361,1953872.888
2001,아파트,44579,2,974799.972,1953519.535
2001,아파트,44580,2,974839.3115,1953562.853
2001,아파트,44564,2,974656.9544,1953479.077
2001,아파트,44565,2,974723.5769,1953500.217
2001,아파트,44585,2,974667.2603,1953544.392
2001,아파트,44586,2,974717.8727,1953558.192
2001,아파트,44591,2,974718.8346,1953599.349
2001,아파트,44592,2,974786.8134,1953582.088
2001,아파트,44609,2,974839.6668,1953609.982
2001,아파트,44613,2,974758.0317,1953637.689
2001,아파트,44766,2,974987.2759,1953489.136
2001,아파트,44767,2,975106.8851,1953515.335
2001,아파트,44769,2,975038.1643,1953509.461
2001,아파트,44756,2,974996.0375,1953530.833
2001,아파트,44759,2,975045.8116,1953556.965
2001,아파트,44760,2,975018.7213,1953558.408
2001,아파트,44762,2,975030.5639,1953468.734
2001,아파트,44763,2,975064.6605,1953472.235
2001,아파트,44765,2,975084.5892,1953497.183
2001,아파트,44754,2,975104.5104,1953523.344
2001,아파트,44757,2,974965.0233,1953532.205
